user_username,user_display_name,user_profile_url,text,hashtags,mentions,has_image,has_video,timestamp,tweet_url,tweet_id,views,is_retweet,extracted_at
FinChat,FinChat,https://twitter.com/finchat_io,"5 Companies that are rapidly increasing profit margins:

1.) Uber$UBER

Operating Margin:

2017: -49%
2024: 14%",,,True,False,2025-01-06T20:45:02.000Z,https://twitter.com/finchat_io/status/1876369406571544742,1876369406571544742,79000,False,2025-02-26T20:58:12.604564
سعيد عبدالجبَّار,سعيد عبدالجبَّار,https://twitter.com/Saeed_AJ,"أعلن المستثمر @BillAckman أن صندوقه @PershingSquare قام بشراء 30.3 مليون سهم في $UBER لاعتقاده أن اليهم قد يرتفع بأكثر من 100% خلال 3 سنوات:

بعض أرقام $UBER المذكورة في تقرير الصندوق:

- 170 مليون مستخدم شهرياً
- 8 مليون سائق في 70 دولة
- 160 مليار دولار إجمالي قيمة الرحلات",,"@BillAckman,@PershingSquare",True,False,2025-02-19T18:13:00.000Z,https://twitter.com/Saeed_AJ/status/1892276212300730823,1892276212300730823,4100,False,2025-02-26T20:58:14.961918
Evan,Evan,https://twitter.com/StockMKTNewz,"$UBER JUST REPORTED EARNINGS

EPS of $3.21 beating expectations of $0.48
Revenue of $11.96B beating expectations of $11.8B",,,True,False,2025-02-05T12:04:22.000Z,https://twitter.com/StockMKTNewz/status/1887110013543420098,1887110013543420098,262000,False,2025-02-26T20:58:20.434258
DOPEMIND,DOPEMIND,https://twitter.com/dopemind10,"$UFD is echo.       $UFD is rise.
$UFD is countless.   $UFD defies.
$UFD is movement.    $UFD is flow.
$UFD is fire.       $UFD will grow.

$UFD is reaching.    $UFD is high.
$UFD is lifting.     $UFD won’t die.
$UFD is bonded.      $UFD is strong.
$UFD is melody.      $UFD is",,,True,False,2025-02-24T07:36:19.000Z,https://twitter.com/dopemind10/status/1893927924006257130,1893927924006257130,221,False,2025-02-26T20:58:25.709563
Quality Investing with Aria,Quality Investing with Aria,https://twitter.com/QualityInvest5,"It does bring a smile to my face $UBER +32% YTD
$TSLA -14% YTD",,,False,False,2025-02-12T20:23:56.000Z,https://twitter.com/QualityInvest5/status/1889772447248838977,1889772447248838977,18000,False,2025-02-26T20:58:31.099655
Noble Investing,Noble Investing,https://twitter.com/NobleInvesting,"$UBER vs $TSLA: Why Uber's Stock Will Thrive - With or Without a Robotaxi Deal

Now Live --> https://",,,True,False,2025-02-24T01:11:35.000Z,https://twitter.com/NobleInvesting/status/1893831105918144562,1893831105918144562,340,False,2025-02-26T20:58:31.105914
VolatilityX,VolatilityX,https://twitter.com/XVolatility,"With multiple endeavors boosting its operational dynamics, Uber recently reported a 23% YoY growth in combined Mobility and Delivery revenue totaling $10.7 billion. The tech giant also moved up with a net income of $6.9 billion. On the horizon, CEO Dara Khosrowshahi is set to",,,False,False,2025-02-24T22:33:18.000Z,https://twitter.com/XVolatility/status/1894153657601724558,1894153657601724558,76,False,2025-02-26T20:58:34.820259
Separate_and_safe,Separate_and_safe,https://twitter.com/AndSeparate,The company shifts from a gig economy model to a tech-driven future with self-driving technology,,,False,False,2025-02-24T18:59:24.000Z,https://twitter.com/AndSeparate/status/1894099829988450351,1894099829988450351,13,False,2025-02-26T20:58:42.285619
Quality Investing with Aria,Quality Investing with Aria,https://twitter.com/QualityInvest5,"""oh no $UBERstock went up I missed it""

Meanwhile the P/FCF chart looks like this",,,True,False,2025-02-11T21:25:27.000Z,https://twitter.com/QualityInvest5/status/1889425541083656444,1889425541083656444,58000,False,2025-02-26T20:58:42.289607
Oliver | MMMT Wealth (CPA),Oliver | MMMT Wealth (CPA),https://twitter.com/MMMTwealth,"The PEG ratio is an incredible metric to look at.

Here's 10 quality companies with a PEG below 0.9x (undervalued) 

1. Uber | $UBERRevenue growth: 17.9%
PEG: 0.70x
Net income margin: 57.6%

Commentary: A lot of the sentiment around $UBER today is purely down to the AV",,,True,False,2025-02-16T14:40:39.000Z,https://twitter.com/MMMTwealth/status/1891135610045497809,1891135610045497809,268000,False,2025-02-26T20:58:42.294799
